listing_id,id,date,reviewer_id,reviewer_name,comments
67270,7041333,2013-09-04,7933856,Kate,"we stayed with Jean in Seattle for three nights. This was our first air bnb experience and couldnt have been bettet. We were extremely comfortable here and mike and Jean were so nice and helpful during our stay. Jean helped us navigate the bus and train schedules and allowed us to print tickets for our excursions from her home computer. The accommodations were extremely clean, spacious and private. Mike was very helpful when we were trying to plan how to get to the ferry port in anacortes on our last day. An overall great experience. Highly reecommended!"
67270,7581845,2013-09-25,758224,Tim,"The rooms are located in the basement, but it totally does not feel like a basement - not damp, lots of windows, and you get a lot of privacy. The house is located on a very quiet street, so it's ideal for getting a good night's sleep. Very spacious - large bathroom (no tub, but large shower), sitting area with a couch table and chairs, and a separate bedroom. There's no wi-fi, only an ethernet cable with doesn't work with macs, so we had to go to the local coffee shop for internet. No TV, which was fine with us. But the kitchen area was pretty spartan - a hot water kettle and a mini-mini-fridge. A couple of mugs and tea bags, but no dishes, microwave, or snacks. The family requires no shoes in the house, so we brought our slippers, which was great since the floors are finished concrete - beautiful, but tough on tender toes! "
67270,7889459,2013-10-07,6200381,Adrianne,"We stayed at Jean's place by Lake Washington and we were very impressed by the quiet and private space, the clean and comfortable room, and by our friendly host. Their home is both beautiful and welcoming!"
67270,8052073,2013-10-14,5053141,Ellis,"We would definitely stay here again.

The space is very clean, spacious, and very tastefully
decorated.  There is a bedroom, as well as a living area
with a desk, sofa, chairs, some books, and a minifridge.
There is also a large washroom with a beautiful shower.
The bed was comfortable.  Our interactions with the owner
were pleasant."
67270,8279835,2013-10-23,8759818,Frances,"The host was very welcoming and her family was delightful.
Mike, Jean's husband, was very patient when he returned things I dropped as I left the home each day on the way to my waiting ride.
The two teenagers are wonderful.  It was so nice to talk with them.
The accomodations are below ground but light and airy, as described.
The family was very gracious.
In a word: RECOMMENDED."
67270,8293517,2013-10-24,431016,Ana,I had to cancel this trip...
67270,9062813,2013-12-03,1588277,Ian,"We have stayed many times with jean. As always, her place is perfect for our needs- close to our son and his family and to good friends. It is private with an excellent bathroom with large walk-in shower, and a private bedroom with a comfortable bed, and a nice sitting room."
67270,9278927,2013-12-17,1633626,Amy,"The space was exactly as shown in the images and Jean was very hospitable.  The bed was comfortable. If staying here, I would recommend having a car.  I would book it again. "
67270,9388343,2013-12-25,1588277,Ian,"The place is a gem for us. As always ( this is our 6th or 7th stay), the place suits our needs perfectly. We are often in seattle visiting our son and his family, and we stay here whenever possible."
67270,9467747,2013-12-30,7930696,David,"This was our first time as airbnb guests, so we're extra-happy.  Jean and Mike are wonderful people and their owner built custom home is immaculate, quiet, comfortable, green, and welcoming.  A few blocks to Lk. Washington, where we walked a lot, and close to PCC, Cafe Vita, The Flying Squirrel Pizza and Both Ways Cafe (great bbf).  Thanks for sharing your home with us!"
67270,9839402,2014-01-13,10978130,Mark,"This was our first experience with airbnb and it was perfect!  The house is immaculate, the space we stayed in was roomy yet cozy.  We had plenty of privacy.  We slept so soundly we didn't know a huge wind storm had occurred during the night. We can't wait to return when the weather is good enough to explore the neighborhood.  Super-nice family!"
67270,10094193,2014-01-30,1588277,Ian,"Jean's place is perfect for our needs. Comfortable bed, excellent shower, roomy sitting room, and close to our son and grandchildren. Ian
"
67270,11521281,2014-04-06,9262108,Jonas,Jean has an amazingly beautiful home in a really beautiful part of town. Glad to have found this little gem. Really easy to find and in a nice quiet area. It felt like a home away from home. The space was nice and clean and at a good temp. The animals are super cute and friendly and so are Jean and Mike. Really only spent time in the area sleeping but I'd stay here again when I return. We had a wonderful experience!
67270,12340529,2014-04-29,12603824,Jennifer,"Very clean space. Lovely shower and bathroom.  No wifi, however there is an internet cable. Very easy to coordinate with Jean. "
67270,12599279,2014-05-05,7209026,Chris,"This was one of my best airbnb experiences. The home has a great private sector: bedroom, bathroom and the living room. Everything was clean and very well arranged . If all airbnb stays are like this, hotels can close. Highly recommend!"
67270,13184035,2014-05-21,13120075,Alan And Michelle,"I had a wonderful stay with Mike and Jean Toutant and their children.  Their basement apartment was perfect for me with a bedroom (comfortable bed), living room with desk, and a private bathroom.  Additionally I had free plug-in Internet access.

I entered their house through the front door with my own key and within a few steps accessed the door to their basement.  I connected with Jean and her family members about every other time I entered the house.  They were always friendly and willing to chat whenever I wished.  

In addition to the fine accommodations and super hosts, this house is in a wonderful residential neighborhood close to Lake Washington.  I ran along the lake to Seward Park most mornings.  "
67270,13489547,2014-05-28,105888,Jerry/Aida,"We enjoyed the clean and comfortable accommodations at Jean's home, located next to beautiful Lake Washington and convenient to all Seattle venues.  The ethernet connection worked well for our computer needs (no wifi) and the on-street parking in this quiet, residential neighborhood served us well. "
67270,14017373,2014-06-10,1552491,Elizabeth,Jean and her family are extremely welcoming and accommodating.  The home is beautiful and so is the location.  I really enjoy coming here.  Have stayed twice and hope to again.
67270,14170042,2014-06-13,13865619,Clémence & Vincent,"Nous avons passé un excellent moment chez Jean. La chambre est très confortable et parfaitement indépendante . Petit plus, le lac Washington à une centaine de mètres est splendide! "
67270,15561368,2014-07-11,7581778,Elizabeth,"We are Seattle natives who stayed with Jean while looking for an apartment, and our stay was delightful. The property is so close to Lake Washington for some sunbathing or swimming, or a quick drive/walk from the adorable Columbia City neighborhood. Parking is a breeze on the street (not true in most parts of Seattle!), and the area is quiet. 
It's nice to have your own private space in the basement, with a separate lounge/desk area from the bedroom. You can tell that a lot of thought was put into the furnishing and construction of the house. The Ethernet cable made connecting to the internet easy. 
Jean was always friendly whenever our paths crossed.
"
67270,15771020,2014-07-15,5443818,Emily,"We had a wonderful time staying with Jean and her family. They're very nice people who provided everything we needed for a weekend in the city. They even let us borrow their laundry rack to dry our clothes in their beautiful backyard.

Their home is beautiful and immaculate, and the guest apartment is also spacious and comfortable, with the nicest bathroom we've ever encountered in an Airbnb. The location was convenient for driving almost anywhere in Seattle and the home is within walking distance of restaurants, coffee and the lake.

Overall, this was a great value and a wonderful experience. Thanks!"
67270,16563977,2014-07-29,16195478,Inho,"Jean & Mike's house is really super clean and I can't forget warm hearted hospitality of Mike. When we stayed, Jean was not there but Mike fully handled what we needed. If I have chance to travel around Seattle again, I bet to choose their lovely place again.

Inho & Sunyoung"
67270,16772219,2014-08-02,15984722,Krystal,"The description was accurate, and the private apartment-like space was exactly what I needed.  The neighborhood (which is very quiet and green) was located just a few blocks from the shore and walking distance from a cafe and pizzeria (expensive but worth it).  You are close, a 10 min. walk, from a grocery store, and just one block from the bus stop.  I did not rent a car, and was able to get around the neighborhood and to and from Seattle easily.

The hosts were very nice, accessible, and respectful of your space.  I would definitely use their listing again, when I'm in the area.

Side Note:  Verizon phone customers may have spotty service in the room."
67270,16997482,2014-08-05,17520446,Etienne,"It's a great place to stay in Seattle! Lovely people, very good location, quiet and safe. Around 30 minutes from the house to the city, very easy by bus or light train. I would (will?) come here again. Thank you Jean and Mike!"
67270,17117101,2014-08-07,16915548,Roland,I highly recommend Jean and family if you are looking for a comfortable and quiet place to stay while visitng Seattle. The near by park is an added feature.  
67270,17226376,2014-08-09,10575769,Alyson,"We had a great stay at Jean's home! We liked being able to walk to the light rail, and having a quiet clean place to come home to after a busy day in the many neighborhoods of Seattle. "
